ProductID,ProductType,Price,StarReviews5,StarReviews4,StarReviews3,StarReviews2,StarReviews1,PosServiceReview,NegServiceReview,WouldRecommend,BestSellersRank,ShippingWeight,ProductDepth,ProductWidth,ProductHeight,Profitmargin,Volume
101,1,949,3,3,2,0,0,2,0,0.9,1967,25.8,23.94,6.62,16.89,0.15,12
102,1,2249.99,2,1,0,0,0,1,0,0.9,4806,50,35,31.75,19,0.25,8
103,1,399,3,0,0,0,0,1,0,0.9,12076,17.4,10.5,8.3,10.2,0.08,12
104,2,409.99,49,19,8,3,9,7,8,0.8,109,5.7,15,9.9,1.3,0.08,196
105,2,1079.99,58,31,11,7,36,7,20,0.7,268,7,12.9,0.3,8.9,0.09,232
106,3,114.22,83,30,10,9,40,12,5,0.3,64,1.6,5.8,4,1,0.05,332
107,3,379.99,11,3,0,0,1,3,0,0.9,0,7.3,6.7,10.3,11.5,0.05,44
108,3,65.29,33,19,12,5,9,5,3,0.7,2,12,7.9,6.7,2.2,0.05,132
109,3,119.99,16,9,2,0,2,2,1,0.8,0,1.8,10.6,9.4,4.7,0.05,64
110,3,16.99,10,1,1,0,0,2,0,0.9,18,0.75,10.7,13.1,0.6,0.05,40
111,3,6.55,21,2,2,4,15,2,1,0.5,0,1,7.3,7,1.6,0.05,84
112,3,15,75,25,6,3,3,9,2,0.2,7,2.2,21.3,1.8,7.8,0.05,300
113,3,52.5,10,8,5,0,1,2,0,0.8,0,1.1,15.6,3,15,0.05,40
114,3,21.08,313,62,13,8,16,44,3,0.9,6,0.35,5.7,3.5,8.3,0.05,1252
115,3,18.98,349,118,27,7,5,57,3,0.9,0,0.6,1.7,13.5,10.2,0.05,1396
116,3,3.6,8,6,3,2,1,0,0,0.8,927,0.01,11.5,8.5,0.4,0.05,32
117,3,3.6,11,5,2,2,1,0,0,0.8,661,0.01,11.5,8.5,0.4,0.05,44
118,3,174.99,170,100,23,20,20,310,6,0.8,1,1.4,13.8,8.2,0.4,0.05,680
119,3,9.99,15,12,4,0,4,3,1,0.8,0,0.4,11.1,7.6,0.5,0.05,60
120,4,670,20,2,4,2,4,4,3,0.7,110,0.25,5.8,1.4,7.8,0.15,80
121,4,133.08,34,15,2,2,10,5,4,0.7,0,3.2,7.4,5.5,1.4,0.15,136
122,4,124.99,394,187,63,42,86,55,38,0.8,1,0.15,7.6,5.5,1.2,0.2,1576
123,4,56.99,513,217,162,370,1654,144,112,0.3,398,0.55,5.2,1.4,7.5,0.15,2052
124,4,48.5,29,18,3,1,8,4,2,0.8,150,0.2,8,7,1,0.2,116
125,4,31.99,77,31,7,3,2,7,0,0.9,281,0.2,0,0,0,0.3,308
126,6,179.99,306,114,25,22,28,42,12,0.8,2,13.7,8.5,22.3,17.5,0.08,1224
127,7,396.35,8,0,1,0,2,1,1,0.3,60,63,17.9,15.9,12.7,0.12,32
128,7,262.98,22,8,3,1,3,5,1,0.8,29,57,17.3,23.5,25.8,0.12,88
129,5,83.11,0,0,0,1,3,1,1,0.1,17502,10.3,0,0,0,0.35,0
130,5,26.78,6,2,0,0,1,1,0,0.9,0,1,3.3,1.6,4.7,0.3,24
131,5,43.22,5,0,0,0,0,1,0,1,0,1,4.7,2.9,6.3,0.3,20
132,12,79.98,0,1,1,1,1,0,3,0.4,5,0.2,0,0,0,0.4,0
133,12,87.98,5,0,2,0,1,0,1,0.6,11,0.2,0,0,0,0.4,20
134,12,124.98,308,27,8,3,15,280,8,0.9,16,0.2,0,0,0,0.4,1232
135,12,129.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,0.4,1232
136,12,134.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,0.4,1232
137,12,151.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,0.4,1232
138,12,169.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,0.4,1232
139,12,179.98,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,0.4,1232
140,12,189.5,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,0.4,1232
141,12,349.99,308,27,8,3,15,280,8,0.9,7,0.2,0,0,0,0.4,1232
142,1,609.99,21,7,3,0,12,5,3,0.6,0,29.1,20.95,8.47,20.71,0.09,84
143,2,770.6,22,14,4,5,6,6,2,0.7,1473,3.54,12.72,8.9,0.71,0.15,88
144,3,3.84,92,29,8,4,10,12,3,0.8,17,1,6.5,4.2,1.5,0.05,368
