@relation eCommerce_New_Products_test3-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute 'Product Type' {PC,Laptop,Accessories,Software,Display,Printer,'Printer Supplies','Extended Warranty',Netbook,Tablet,Smartphone,'Game Console'}
@attribute 'Product #' {101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,177,182,185,188,189,190,191,192,197,198,171,172,173,175,176,178,180,181,183,186,187,193,194,195,196,199,200,201}
@attribute Price numeric
@attribute '5 Star Reviews' numeric
@attribute '4 Star Reviews' numeric
@attribute '3 Star Reviews' numeric
@attribute '2 Star Reviews' numeric
@attribute '1 Star Reviews' numeric
@attribute 'Positive Service Review' numeric
@attribute 'Negative Service Review' numeric
@attribute 'Would consumer recommend product' numeric
@attribute 'Best Sellers Rank' numeric
@attribute 'Shipping Weight (lbs)' numeric
@attribute 'Product Depth' numeric
@attribute 'Product Width' numeric
@attribute 'Product Height' numeric
@attribute 'Profit margin' numeric
@attribute Volume numeric

@data
PC,171,699,96,26,14,14,25,12,3,0.7,2498,19.9,20.63,19.25,8.39,0.25,?
PC,172,860,51,11,10,10,21,7,5,0.6,490,27,21.89,27.01,9.13,0.2,?
Laptop,173,1199,74,10,3,3,11,11,5,0.8,111,6.6,8.94,12.8,0.68,0.1,?
Laptop,175,1199,7,2,1,1,1,2,1,0.6,4446,13,16.3,10.8,1.4,0.15,?
Laptop,176,1999,1,1,1,3,0,0,1,0.3,2820,11.6,16.81,10.9,0.88,0.23,?
Netbook,178,399.99,19,8,4,1,10,2,4,0.6,4140,5.8,8.43,11.42,1.2,0.08,?
Netbook,180,329,312,112,28,31,47,28,16,0.7,2699,4.6,10.17,7.28,0.95,0.09,?
Netbook,181,439,23,18,7,22,18,5,16,0.4,1704,4.8,8,11.7,1.5,0.11,?
Netbook,183,330,3,4,0,1,0,1,0,0.7,5128,4.3,7.4,10.4,0.97,0.09,?
Tablet,186,629,296,66,30,21,36,28,9,0.8,34,3,7.31,9.5,0.37,0.1,?
Tablet,187,199,943,437,224,160,247,90,23,0.8,1,0.9,5.4,7.6,0.4,0.2,?
Smartphone,193,199,99,26,12,16,35,8,6,0.4,1277,0.9,2.7,5.2,0.4,0.11,?
Smartphone,194,49,100,26,37,33,48,14,6,0.6,16966,0.7,2.67,5.33,0.37,0.12,?
Smartphone,195,149,42,8,4,4,9,4,1,0.7,6316,0.8,2.7,5.3,0.4,0.15,?
Smartphone,196,300,50,19,13,20,22,5,7,0.6,44465,0.9,2.6,5,0.4,0.11,?
'Game Console',199,249.99,462,97,25,17,58,32,12,0.8,115,8.4,6.2,13.2,13.2,0.09,?
Display,201,140,4,0,0,0,2,1,1,0.7,324,8.9,13.6,17.6,7.3,0.05,?
