groupid,date_joined,institution_name,campus_name,type_inst,city,state,zip,work_ph,cell_ph,home_ph,fte_count,net_student_tuition,federal03,state03,state_local_app,federal07,federal07_net_pell,state06,local06,state_local_grant_contract,federal10,federal10_net_pell,state09,fed_state_loc_grants_con,private03,endowment03,priv_invest_endow,auxother_rev,stable_operating_rev,total03_revenue
-1025,1987,LOMAX-HANNON JC,,74,GREENVILLE,AL,36037,5685267073,,,33450,1897808,17068,16124160,16124160,9461724,7265232,,,,9478792,7282300,16124160,7282300,,,,4529459,32959139,35155632
1408,1987,SAINT BASILS COLLEGE,,74,STAMFORD,CT,6902,3954871873,4924201253,,31400,2506282,2440214,17107620,17107620,8994152,6877843,1132421,,1132421,11434366,9318057,18240042,10450478,472196,,472196,4477017,37005390,39985544
-1025,1987,MERCER U STHN SCHOOL PHAR,,74,ATLANTA,GA,30312,,,7006589290,35660,2538398,2480973,19295288,19295288,9114062,6419768,1367943,,1367943,11595035,8900741,20663232,10268684,538832,,538832,4683969,39853910,43723596
1595,1987,TIFT COLLEGE,,74,FORSYTH,GA,31029,8671874153,,8607476667,37670,2969939,2582813,19192740,19192740,10168088,7431012,1494454,,1494454,12750901,10013825,20687194,11508279,673651,,673651,4196788,41255063,45543896
-1593,1987,AERO-SPACE INSTITUTE,,84,CHICAGO,IL,60610,,,6962526418,41040,2627916,3061494,19628344,19628344,13633430,10085782,1053452,,1053452,16694924,13147276,20681796,14200728,626850,,626850,5446271,46086363,51433912
-1595,1987,NATL COLLEGE ED,,84,EVANSTON,IL,60201,4119111565,7588607480,,44290,4382559,3108942,19744360,19744360,13211605,9654227,1225055,,1225055,16320547,12763169,20969416,13988224,1138610,,1138610,4905869,47146899,53132084
1755,1987,SHERWOOD CONSV. OF MUSIC,,84,CHICAGO,IL,60605,4778392171,,,42830,5461769,2831854,20616852,20616852,13420780,9852430,1264558,,1264558,16252634,12684284,21881410,13948842,819068,,819068,5135419,49351072,54899880
-1733,1987,SAINT JOHNS COLLEGE,,74,WINFIELD,KS,67156,,8377247852,,47930,6769136,3162155,21909812,21909812,15313054,11759724,774214,3956,778170,18475208,14921879,22687980,15700049,1449519,,1449519,6814877,55498820,61979400
2296,1987,MUSKEGON BUSINESS COLLEGE,,74,MUSKEGON,MI,49442,,9931057732,,46460,7949749,2865731,26228420,26228420,15406944,12215577,1534985,,1534985,18272676,15081308,27763406,16616293,934017,,934017,6757655,61319787,67006852
-1942,1987,SAINT MARYS JR COLLEGE,,74,MINNEAPOLIS,MN,55454,8144498167,,,45190,8622004,2591006,25901338,25901338,16006537,12988223,1093179,,1093179,18597544,15579229,26994516,16672408,770610,,770610,6999907,61788243,67350728
-2296,1987,MISS INDUSTRIAL COLLEGE,,74,HOLLY SPRINGS,MS,38635,1828345547,6459500976,,44050,7952395,2105692,26519222,26519222,17352488,14199463,1393793,,1393793,19458180,16305155,27913016,17698948,702079,,702079,8418804,64353049,69968552
-2381,1987,SAINT PAULS COLLEGE,,74,CONCORDIA,MO,64020,,4256916544,,42880,7419683,3126890,27045892,27045892,18674076,14661066,1106002,,1106002,21800964,17787956,28151894,18893958,1120947,,1120947,8669308,66465320,73831880
-2421,1987,FELICIAN COLLEGE,,74,LODI,NJ,7644,,2907667634,,44570,7134418,3062098,28580108,28580108,18088484,12707816,1578342,,1578342,21150582,15769914,30158452,17348256,858819,,858819,11148474,70315809,79911920
2662,1987,UNIVERSITY OF ALBUQUERQUE,,66,ALBUQUERQUE,NM,87140,752029882,,9419564624,100410,15827760,,108797072,108797072,65552488,63302199,3263567,512367,3775934,65552488,63302199,112573000,67078133,23794046,485305,24279351,238179634,435052433,463502304
-2610,1987,PARSONS SCHOOL OF DESIGN,,74,NEW YORK,NY,10011,,2796172576,,100850,17359822,,112179376,112179376,75264824,72797446,3643796,542343,4186139,75264824,72797446,116365520,76983585,27832632,1016714.125,28849346.13,256850836,468793877,501005504
