CRUISE_ID	CRUISE_TYPE_ID	CRUISE_NAME	SHIP_ID	CAPTAIN_ID	START_DATE	END_DATE	STATUS
101	1	Another World	1	20	1/3/2016	1/11/2016	DOCKED
723	7	Are We There Yet	4	14	6/13/2016	6/19/2016	MAINTENANCE
601	6	Away We Go 	1	5	8/2/2016	8/11/2016	CANCELLED
175	4	Beyond The Sea	2	21	9/29/2016	10/9/2016	DOCKED
700	4	Bon Voyage	3	16	6/25/2016	6/29/2016	CANCELLED
235	1	Distant Shores	1	11	3/12/2016	3/22/2016	MAINTENANCE
452	8	Don?t Let It End	4	4	5/10/2016	5/18/2016	CANCELLED
475	5	Down In The Boondocks	5	12	9/13/2016	9/18/2016	DOCKED
125	1	Enchanted Island	1	5	2/5/2016	2/8/2016	DOCKED
128	9	Escapade	4	18	4/8/2016	4/14/2016	CANCELLED
693	10	Every Which Way But Loose	4	10	9/24/2016	9/30/2016	MAINTENANCE
320	4	Fantastic Voyage	3	1	6/22/2016	7/1/2016	UNDERWAY
596	10	Free And Easy 	1	12	10/26/2016	10/31/2016	CANCELLED
118	9	Foot Loose and Fancy Free 	3	3	6/2/2016	6/11/2016	UNDERWAY
376	6	From Here To Eternity	3	17	10/27/2016	10/31/2016	DOCKED
617	6	Go Tell It On The Mountain 	3	14	4/10/2016	4/15/2016	MAINTENANCE
569	2	The Beginning Of The End	5	4	2/19/2016	2/26/2016	MAINTENANCE
137	1	Pack Your Bags And Leave Tonight	5	17	1/25/2016	2/1/2016	DOCKED
565	3	On The Road Again 	1	14	9/23/2016	9/26/2016	DOCKED
371	1	Permanent Vacation	3	17	11/7/2016	11/14/2016	CANCELLED
103	5	Rugged Route 	2	14	1/19/2016	1/28/2016	UNDERWAY
658	6	This Is Paradise	3	9	1/7/2016	1/12/2016	DOCKED
274	6	Way To Go 	3	1	9/12/2016	9/21/2016	UNDERWAY
225	10	Gulliver's Travels 	3	14	2/22/2016	2/25/2016	MAINTENANCE
169	5	Midnight At The Oasis	2	19	5/16/2016	5/25/2016	UNDERWAY
628	2	"No, We Are Not There Yet"	1	5	11/14/2016	11/23/2016	MAINTENANCE
248	6	Peaceful Easy Feeling	1	10	9/6/2016	9/13/2016	MAINTENANCE
621	2	Room With A View 	1	17	8/22/2016	8/29/2016	CANCELLED
640	5	The Last Mile Home	4	14	4/28/2016	5/4/2016	MAINTENANCE
541	2	This Is Some Vacation	5	8	6/20/2016	6/26/2016	UNDERWAY
229	2	Tourist Trap 	1	2	1/25/2016	1/30/2016	CANCELLED
216	6	We're Off 	2	17	2/2/2016	2/8/2016	UNDERWAY
585	8	Where In The World Is Carmen Sandiego? 	3	11	4/16/2016	4/26/2016	MAINTENANCE
676	2	Wish You Were Here 	2	9	9/10/2016	9/18/2016	UNDERWAY
444	1	World Traveler 	4	15	8/8/2016	8/13/2016	MAINTENANCE
592	1	Homeward Bound 	1	19	1/19/2016	1/24/2016	UNDERWAY
