ID   INV_DATE      AMOUNT   ACCT_NO
---   ----------   ------   -------
701   03/15/2009   147119   CODDA15
702   03/17/2009   275803   CODDA12
703   03/18/2009   248414   CODDA20
704   03/19/2009   169206   CODDA18 
705   08/18/2009   102680   CODDA12
706   01/04/2010   179138   CODDA17
707   01/13/2011   270723   CODDA18
708   09/15/2010   130288   CODDA13
709   03/21/2010   255003   CODDA18
710   09/13/2009   254837   CODDA19
711   03/30/2010   284695   CODDA19
712   11/20/2010   297928   CODDA19
713   02/16/2011   291257   CODDA17
714   04/12/2010   157167   CODDA18
715   09/21/2010   187062   CODDA18
716   05/09/2010   124308   CODDA18
717   08/24/2009   198292   CODDA11
718   07/31/2009   267466   CODDA17
719   07/04/2009   125296   CODDA20
720   05/18/2011   117479   CODDA19
721   02/05/2011   180073   CODDA14
722   01/26/2010   226657   CODDA12
723   09/12/2010   208190   CODDA13
724   10/12/2010   246925   CODDA14
725   07/08/2009   289551   CODDA14
726   03/02/2010   108725   CODDA15
727   10/11/2010   119377   CODDA15
728   10/26/2010   255169   CODDA16
729   01/06/2011   243049   CODDA18
730   10/18/2009   120141   CODDA15
731   02/10/2010   155553   CODDA18
732   06/06/2011   264980   CODDA13
733   06/27/2011   160297   CODDA14
734   11/27/2010   295740   CODDA14
735   01/14/2010   267223   CODDA15
736   03/21/2010   196865   CODDA13
737   10/31/2010   236967   CODDA16
738   05/11/2010   295005   CODDA13
739   08/20/2010   176297   CODDA19
740   11/21/2009   267862   CODDA15
741   02/22/2011   181793   CODDA17
742   12/25/2010   293251   CODDA14
743   04/22/2011   190649   CODDA14
744   11/26/2010   127258   CODDA13
745   06/25/2011   195092   CODDA19
746   11/08/2010   171835   CODDA14
747   03/29/2010   197133   CODDA14
748   09/11/2010   163843   CODDA16
749   01/17/2010   287614   CODDA12
750   08/24/2010   118945   CODDA19
751   04/01/2010   251128   CODDA19
752   09/03/2009   238753   CODDA20
753   08/04/2010   228380   CODDA14
754   06/17/2011   246198   CODDA19
755   03/24/2010   126336   CODDA12
756   10/30/2010   275086   CODDA13
757   06/20/2011   124319   CODDA17
758   03/21/2011   234261   CODDA20
759   11/30/2010   153163   CODDA11
760   05/05/2011   109112   CODDA11
761   01/11/2010   101755   CODDA16
762   05/03/2010   177215   CODDA15
763   03/14/2011   187772   CODDA13
764   07/23/2010   182789   CODDA20
765   10/10/2009   111358   CODDA17
766   06/30/2010   106663   CODDA19
767   12/06/2009   192120   CODDA17
768   04/11/2010   243032   CODDA15
769   01/22/2010   132922   CODDA15
770   11/18/2010   178269   CODDA20
771   12/30/2010   298933   CODDA15
