REGION,COUNTY,WUG Name,RIVER BASIN,P2020,P2030,P2040,P2050,P2060,P2070
A,ARMSTRONG,CLAUDE,RED,1203,1203,1203,1203,1203,1203
A,ARMSTRONG,COUNTY-OTHER,RED,708,708,708,708,708,708
A,CARSON,COUNTY-OTHER,CANADIAN,1231,1258,1279,1279,1279,1279
A,CARSON,COUNTY-OTHER,RED,933,938,960,960,960,960
A,CARSON,GROOM,RED,574,574,574,574,574,574
A,CARSON,PANHANDLE,RED,2491,2583,2631,2631,2631,2631
A,CARSON,WHITE DEER,CANADIAN,487,505,514,514,514,514
A,CARSON,WHITE DEER,RED,638,662,674,674,674,674
A,CHILDRESS,CHILDRESS,RED,6303,6543,6743,6938,7132,7321
A,CHILDRESS,COUNTY-OTHER,RED,966,1003,1033,1063,1093,1122
A,COLLINGSWORTH,COUNTY-OTHER,RED,918,967,1000,1037,1066,1091
A,COLLINGSWORTH,WELLINGTON,RED,2318,2441,2522,2616,2689,2753
A,DALLAM,COUNTY-OTHER,CANADIAN,1172,1319,1475,1628,1776,1918
A,DALLAM,DALHART,CANADIAN,5986,6741,7534,8317,9069,9794
A,DALLAM,TEXLINE,CANADIAN,586,660,738,814,888,959
A,DONLEY,CLARENDON,RED,2088,2088,2088,2088,2088,2088
A,DONLEY,COUNTY-OTHER,RED,1700,1700,1700,1700,1700,1700
A,GRAY,COUNTY-OTHER,CANADIAN,2650,2933,3271,3706,4054,4416
A,GRAY,COUNTY-OTHER,RED,1430,1583,1766,2001,2189,2384
A,GRAY,MCLEAN,RED,844,934,1042,1181,1291,1407
A,GRAY,PAMPA,CANADIAN,19515,21596,24089,27298,29854,32523
A,HALL,COUNTY-OTHER,RED,1075,1105,1105,1105,1105,1105
A,HALL,MEMPHIS,RED,2318,2382,2382,2382,2382,2382
A,HANSFORD,COUNTY-OTHER,CANADIAN,1148,1273,1381,1471,1562,1648
A,HANSFORD,GRUVER,CANADIAN,1306,1447,1570,1673,1777,1873
A,HANSFORD,SPEARMAN,CANADIAN,3505,3648,3759,3873,3991,4113
A,HARTLEY,COUNTY-OTHER,CANADIAN,3465,3708,3837,3929,4011,4077
A,HARTLEY,DALHART,CANADIAN,2816,2923,2980,3021,3058,3087
A,HEMPHILL,CANADIAN,CANADIAN,3016,3381,3691,4010,4295,4556
A,HEMPHILL,COUNTY-OTHER,CANADIAN,873,878,881,885,888,892
A,HEMPHILL,COUNTY-OTHER,RED,320,350,376,402,426,447
A,HUTCHINSON,BORGER,CANADIAN,13734,14226,14352,14352,14352,14352
A,HUTCHINSON,COUNTY-OTHER,CANADIAN,2920,3024,3051,3051,3051,3051
A,HUTCHINSON,FRITCH,CANADIAN,2186,2265,2285,2285,2285,2285
A,HUTCHINSON,STINNETT,CANADIAN,1950,2020,2038,2038,2038,2038
A,HUTCHINSON,TCW SUPPLY INC,CANADIAN,2167,2244,2264,2264,2264,2264
A,LIPSCOMB,BOOKER,CANADIAN,1740,1948,2071,2232,2344,2436
A,LIPSCOMB,COUNTY-OTHER,CANADIAN,1859,1910,1940,1979,2006,2029
A,MOORE,CACTUS,CANADIAN,4232,4824,5455,6095,6763,7444
A,MOORE,COUNTY-OTHER,CANADIAN,2413,2752,3111,3476,3857,4247
A,MOORE,DUMAS,CANADIAN,16897,19260,21777,24331,26995,29725
A,MOORE,FRITCH,CANADIAN,10,11,12,14,15,17
A,MOORE,SUNRAY,CANADIAN,2216,2525,2855,3190,3540,3897
A,OCHILTREE,BOOKER,CANADIAN,22,33,45,58,74,92
A,OCHILTREE,COUNTY-OTHER,CANADIAN,1555,1671,1796,1930,2074,2229
A,OCHILTREE,PERRYTON,CANADIAN,9728,10454,11234,12073,12974,13943
A,OLDHAM,COUNTY-OTHER,CANADIAN,1022,1089,1089,1089,1089,1089
A,OLDHAM,COUNTY-OTHER,RED,247,263,263,263,263,263
A,OLDHAM,VEGA,CANADIAN,961,1024,1024,1024,1024,1024
A,POTTER,AMARILLO,CANADIAN,70415,78259,86558,94822,103832,113322
A,POTTER,AMARILLO,RED,46360,51523,56988,62428,68361,74609
A,POTTER,COUNTY-OTHER,CANADIAN,11034,12262,13563,14857,16270,17757
A,POTTER,COUNTY-OTHER,RED,6222,6916,7648,8379,9175,10013
A,RANDALL,AMARILLO,RED,94816,106024,117243,128735,140962,153663
A,RANDALL,CANYON,RED,14803,16553,18305,20099,22008,23991
A,RANDALL,COUNTY-OTHER,RED,23762,26571,29383,32263,35328,38510
A,RANDALL,HAPPY,RED,68,76,84,93,101,111
A,RANDALL,LAKE TANGLEWOOD,RED,820,820,820,820,820,820
A,ROBERTS,COUNTY-OTHER,CANADIAN,387,420,419,419,419,419
A,ROBERTS,COUNTY-OTHER,RED,3,4,4,4,4,4
A,ROBERTS,MIAMI,CANADIAN,613,623,624,624,624,624
A,SHERMAN,COUNTY-OTHER,CANADIAN,1104,1197,1246,1291,1323,1347
A,SHERMAN,STRATFORD,CANADIAN,2190,2374,2474,2562,2626,2673
A,WHEELER,COUNTY-OTHER,RED,1969,2048,2121,2200,2283,2373
A,WHEELER,SHAMROCK,RED,1973,2051,2126,2203,2288,2378
A,WHEELER,WHEELER,RED,1645,1710,1772,1836,1907,1982
B,ARCHER,ARCHER CITY,RED,1834,1834,1834,1834,1834,1834
B,ARCHER,COUNTY-OTHER,BRAZOS,58,61,61,61,61,61
B,ARCHER,COUNTY-OTHER,RED,296,121,73,73,73,73
B,ARCHER,COUNTY-OTHER,TRINITY,70,73,74,74,74,74
B,ARCHER,HOLLIDAY,RED,1982,2257,2330,2330,2330,2330
B,ARCHER,LAKESIDE CITY,RED,1021,1050,1058,1058,1058,1058
B,ARCHER,SCOTLAND,RED,613,751,788,788,788,788
B,ARCHER,WICHITA VALLEY WSC,RED,2473,2587,2618,2618,2618,2618
B,ARCHER,WINDTHORST WSC,RED,1062,1111,1124,1124,1124,1124
B,BAYLOR,COUNTY-OTHER,BRAZOS,707,707,707,707,707,707
B,BAYLOR,COUNTY-OTHER,RED,279,279,279,279,279,279
B,BAYLOR,SEYMOUR,BRAZOS,2740,2740,2740,2740,2740,2740
B,CLAY,COUNTY-OTHER,RED,4200,4332,4332,4332,4332,4332
B,CLAY,COUNTY-OTHER,TRINITY,488,503,503,503,503,503
B,CLAY,DEAN DALE SUD,RED,2262,2333,2333,2333,2333,2333
B,CLAY,HENRIETTA,RED,3259,3361,3361,3361,3361,3361
B,CLAY,PETROLIA,RED,712,734,734,734,734,734
B,CLAY,WINDTHORST WSC,RED,233,240,240,240,240,240
B,COTTLE,COUNTY-OTHER,RED,328,328,328,328,328,328
B,COTTLE,PADUCAH,RED,1224,1224,1224,1224,1224,1224
B,FOARD,COUNTY-OTHER,RED,403,406,406,406,406,406
B,FOARD,CROWELL,RED,986,995,995,995,995,995
B,HARDEMAN,CHILLICOTHE,RED,731,749,755,770,778,784
B,HARDEMAN,COUNTY-OTHER,RED,815,837,844,861,869,876
B,HARDEMAN,QUANAH,RED,2728,2797,2821,2876,2905,2927
B,KING,COUNTY-OTHER,BRAZOS,29,30,30,30,30,30
B,KING,COUNTY-OTHER,RED,271,286,286,286,286,286
B,MONTAGUE,BOWIE,TRINITY,5427,5626,5716,5817,5881,5928
B,MONTAGUE,COUNTY-OTHER,RED,4628,4798,4875,4961,5015,5056
B,MONTAGUE,COUNTY-OTHER,TRINITY,6212,6440,6543,6657,6732,6786
B,MONTAGUE,NOCONA,RED,3155,3271,3323,3381,3419,3446
B,MONTAGUE,ST. JO,TRINITY,1085,1125,1143,1163,1176,1185
B,WICHITA,BURKBURNETT,RED,11151,11557,11876,12100,12314,12495
B,WICHITA,COUNTY-OTHER,RED,2691,2791,2868,2921,2974,3018
B,WICHITA,DEAN DALE SUD,RED,1121,1161,1193,1216,1237,1256
B,WICHITA,ELECTRA,RED,2879,2984,3066,3124,3179,3226
B,WICHITA,IOWA PARK,RED,6555,6794,6981,7113,7238,7345
B,WICHITA,WICHITA FALLS,RED,107835,111767,114848,117013,119080,120838
B,WICHITA,WICHITA VALLEY WSC,RED,3395,3519,3616,3684,3749,3804
B,WILBARGER,COUNTY-OTHER,RED,2707,2854,2943,3033,3095,3143
B,WILBARGER,VERNON,RED,11758,12398,12785,13175,13447,13653
B,YOUNG,COUNTY-OTHER,BRAZOS,531,631,702,778,852,923
B,YOUNG,COUNTY-OTHER,TRINITY,3,3,4,4,4,4
B,YOUNG,OLNEY,BRAZOS,3370,3485,3568,3655,3740,3822
C,COLLIN,ALLEN,TRINITY,98500,98500,98500,98500,98500,98500
C,COLLIN,ANNA,TRINITY,11943,13929,22984,31000,59000,89000
C,COLLIN,BLUE RIDGE,TRINITY,925,2000,4000,12000,25000,39000
C,COLLIN,CADDO BASIN SUD,SABINE,1677,2013,2684,3355,4026,4697
C,COLLIN,CADDO BASIN SUD,TRINITY,823,987,1316,1645,1974,2303
C,COLLIN,CARROLLTON,TRINITY,4,6,9,12,15,18
C,COLLIN,CELINA,TRINITY,21995,43200,72980,112500,112500,112500
C,COLLIN,COPEVILLE SUD,TRINITY,3846,4804,5972,8000,14000,24000
C,COLLIN,COUNTY-OTHER,SABINE,397,343,266,230,207,148
C,COLLIN,COUNTY-OTHER,TRINITY,9892,9946,10023,34770,49793,79852
C,COLLIN,CULLEOKA WSC,TRINITY,4500,5500,9000,11000,12000,15000
C,COLLIN,DALLAS,TRINITY,71320,73220,74169,74169,74169,74169
C,COLLIN,EAST FORK SUD,TRINITY,2289,2860,3554,4297,5177,6175
C,COLLIN,FAIRVIEW,TRINITY,13000,15000,20025,20025,20025,20025
C,COLLIN,FARMERSVILLE,SABINE,12,30,30,30,30,30
C,COLLIN,FARMERSVILLE,TRINITY,7988,19970,19970,19970,19970,19970
C,COLLIN,FRISCO,TRINITY,102796,135398,168000,168000,168000,168000
C,COLLIN,GARLAND,TRINITY,334,417,518,626,755,900
C,COLLIN,HICKORY CREEK SUD,TRINITY,63,69,77,85,95,106
C,COLLIN,JOSEPHINE,SABINE,1728,2674,3584,4441,4441,4441
C,COLLIN,LAVON,TRINITY,3500,4500,6885,8891,20000,45000
C,COLLIN,LAVON SUD,TRINITY,3000,3200,3819,4303,10000,25000
C,COLLIN,LOWRY CROSSING,TRINITY,2040,2446,3000,3000,3000,3000
C,COLLIN,LUCAS,TRINITY,7200,8200,10857,12131,13406,13406
C,COLLIN,MARILEE SUD,TRINITY,3664,3664,3600,3600,3544,3544
C,COLLIN,MCKINNEY,TRINITY,156924,188628,274566,358000,358000,358000
C,COLLIN,MELISSA,TRINITY,6978,9790,13216,30000,50000,75000
C,COLLIN,MURPHY,TRINITY,23000,23000,23000,23000,23000,23000
C,COLLIN,NEVADA,SABINE,112,136,166,672,1680,3024
C,COLLIN,NEVADA,TRINITY,887,1081,1317,5328,13320,23976
C,COLLIN,NEW HOPE,TRINITY,770,962,1195,1445,1741,2077
C,COLLIN,NORTH COLLIN WSC,TRINITY,5319,6086,7020,8019,9202,10544
C,COLLIN,PARKER,TRINITY,6000,16000,20000,20000,20000,20000
C,COLLIN,PLANO,TRINITY,260500,270200,282656,284656,284656,284656
C,COLLIN,PRINCETON,TRINITY,9080,11880,15290,36295,57300,78304
C,COLLIN,PROSPER,TRINITY,20004,28022,32637,33848,35058,35058
C,COLLIN,RICHARDSON,TRINITY,31522,31714,32974,34000,34000,34000
C,COLLIN,ROYSE CITY,SABINE,1639,5500,12000,20000,38000,40906
C,COLLIN,SACHSE,TRINITY,7899,7899,7899,7899,7899,7899
C,COLLIN,SEIS LAGOS UD,TRINITY,2130,2130,2130,2130,2130,2130
C,COLLIN,SOUTH GRAYSON WSC,TRINITY,1166,1456,1947,2275,2627,2989
C,COLLIN,ST. PAUL,TRINITY,1965,2255,2453,2559,2666,2666
C,COLLIN,WESTON,TRINITY,3370,7159,32647,79837,127026,127026
C,COLLIN,WYLIE,TRINITY,42126,47666,51294,54120,55946,57599
C,COLLIN,WYLIE NORTHEAST SUD,TRINITY,1889,2390,3000,6000,10000,16000
C,COOKE,BOLIVAR WSC,TRINITY,1631,1751,1842,1934,2010,2076
C,COOKE,COUNTY-OTHER,RED,1824,1928,2029,2272,2806,4600
C,COOKE,COUNTY-OTHER,TRINITY,6676,7072,7695,10728,12194,26400
C,COOKE,GAINESVILLE,RED,26,28,29,31,37,52
C,COOKE,GAINESVILLE,TRINITY,17310,18579,19553,20521,24963,34948
C,COOKE,LAKE KIOWA SUD,TRINITY,2209,2247,2286,2325,2363,2363
C,COOKE,LINDSAY,TRINITY,1102,1183,1245,1307,2500,5000
C,COOKE,MOUNTAIN SPRING WSC,TRINITY,2654,2848,2998,3146,5000,8000
C,COOKE,MUENSTER,TRINITY,1550,1550,1600,1600,1650,1650
C,COOKE,TWO WAY SUD,RED,100,108,113,119,124,128
C,COOKE,VALLEY VIEW,TRINITY,820,880,926,972,1010,1043
C,COOKE,WOODBINE WSC,RED,484,549,613,678,742,806
C,COOKE,WOODBINE WSC,TRINITY,5647,6398,7150,7899,8648,9397
C,DALLAS,ADDISON,TRINITY,14539,17431,20323,23215,26107,29000
C,DALLAS,BALCH SPRINGS,TRINITY,26423,28980,31606,34456,37233,40018
C,DALLAS,CARROLLTON,TRINITY,49822,49822,49822,49822,49822,49822
C,DALLAS,CEDAR HILL,TRINITY,52495,64217,75906,87555,87555,87555
C,DALLAS,COCKRELL HILL,TRINITY,4670,5122,5122,5122,7000,15000
C,DALLAS,COMBINE,TRINITY,809,922,1038,1164,1287,1410
C,DALLAS,COPPELL,TRINITY,40324,41817,41817,41817,41817,41817
C,DALLAS,COUNTY-OTHER,TRINITY,5339,3000,2000,2000,2000,2000
C,DALLAS,DALLAS,TRINITY,1141059,1242191,1420781,1591937,1722709,1785569
C,DALLAS,DESOTO,TRINITY,54617,59903,65330,71222,76963,82718
C,DALLAS,DUNCANVILLE,TRINITY,42927,47106,47106,47106,47106,47106
C,DALLAS,EAST FORK SUD,TRINITY,1934,2646,3377,4170,4943,5718
C,DALLAS,FARMERS BRANCH,TRINITY,30613,32509,34455,36567,38625,40689
C,DALLAS,FERRIS,TRINITY,6,10,14,18,22,26
C,DALLAS,GARLAND,TRINITY,234313,241346,243000,243000,243000,243000
C,DALLAS,GLENN HEIGHTS,TRINITY,13825,18835,23978,29561,35002,46000
C,DALLAS,GRAND PRAIRIE,TRINITY,166241,206822,231537,231537,231537,231537
C,DALLAS,HIGHLAND PARK,TRINITY,9025,9313,9313,9313,9313,9313
C,DALLAS,HUTCHINS,TRINITY,9903,13922,17941,21960,25979,30000
C,DALLAS,IRVING,TRINITY,260752,284500,284500,284500,284500,284500
C,DALLAS,LANCASTER,TRINITY,45184,58895,69717,77649,85582,93514
C,DALLAS,LEWISVILLE,TRINITY,841,841,841,841,841,841
C,DALLAS,MESQUITE,TRINITY,149861,164825,186120,202904,219260,235656
C,DALLAS,OVILLA,TRINITY,476,613,754,907,1056,1829
C,DALLAS,RICHARDSON,TRINITY,73478,76486,79526,82000,82000,82000
C,DALLAS,ROCKETT SUD,TRINITY,1000,2000,3000,4000,5000,6000
C,DALLAS,ROWLETT,TRINITY,56800,62300,62300,62300,62300,62300
C,DALLAS,SACHSE,TRINITY,20600,20600,20600,20600,20600,20600
C,DALLAS,SEAGOVILLE,TRINITY,18824,22836,26846,30855,34932,34919
C,DALLAS,SUNNYVALE,TRINITY,7000,10000,13000,15000,18000,18000
C,DALLAS,UNIVERSITY PARK,TRINITY,25688,25688,25688,25688,25688,25688
C,DALLAS,WILMER,TRINITY,4203,4698,7500,14000,22000,40000
C,DALLAS,WYLIE,TRINITY,2543,2613,2683,2753,2823,2960
C,DENTON,ARGYLE,TRINITY,6000,9000,13000,13000,13000,13000
C,DENTON,ARGYLE WSC,TRINITY,5040,5040,5040,5040,5040,5040
C,DENTON,AUBREY,TRINITY,4726,6284,7349,8713,10459,12693
C,DENTON,BARTONVILLE,TRINITY,4500,5000,5000,5000,5000,5000
C,DENTON,BOLIVAR WSC,TRINITY,9480,11534,13988,16730,19940,23604
C,DENTON,CARROLLTON,TRINITY,76937,79348,79348,79348,79348,79348
C,DENTON,CELINA,TRINITY,680,4800,16020,37500,37500,37500
C,DENTON,COPPELL,TRINITY,1136,1136,1136,1136,1136,1136
C,DENTON,COPPER CANYON,TRINITY,1419,1523,1647,1785,1947,2131
C,DENTON,CORINTH,TRINITY,24911,29499,29499,29499,29499,29499
C,DENTON,COUNTY-OTHER,TRINITY,30207,33609,37232,53174,86087,160675
C,DENTON,CROSS ROADS,TRINITY,2256,3096,3800,3800,3800,3800
C,DENTON,DALLAS,TRINITY,29680,32203,36598,40789,43991,45531
C,DENTON,DENTON,TRINITY,160145,211773,268780,341471,468168,570694
C,DENTON,DENTON COUNTY FWSD #10,TRINITY,7884,16750,16750,16750,16750,16750
C,DENTON,DENTON COUNTY FWSD #1A,TRINITY,14000,25021,30000,30000,30000,30000
C,DENTON,DENTON COUNTY FWSD #7,TRINITY,13500,13500,13500,13500,13500,13500
C,DENTON,DOUBLE OAK,TRINITY,3000,3000,3000,3000,3000,3000
C,DENTON,FLOWER MOUND,TRINITY,75315,92730,92730,92730,92730,92730
C,DENTON,FORT WORTH,TRINITY,36268,55784,80890,114032,146148,178264
C,DENTON,FRISCO,TRINITY,68530,90265,112000,112000,112000,112000
C,DENTON,HACKBERRY,TRINITY,1274,1645,2088,2583,3162,3823
C,DENTON,HICKORY CREEK,TRINITY,4089,5110,6331,7941,7941,7941
C,DENTON,HIGHLAND VILLAGE,TRINITY,17100,18000,18000,18000,18000,18000
C,DENTON,JUSTIN,TRINITY,4650,8325,12000,12000,12000,12000
C,DENTON,KRUGERVILLE,TRINITY,1986,2437,2889,3440,3440,3440
C,DENTON,KRUM,TRINITY,5195,6453,7957,9637,11603,13848
C,DENTON,LAKE DALLAS,TRINITY,7782,8603,9933,9933,9933,9933
C,DENTON,LAKEWOOD VILLAGE,TRINITY,692,870,1082,1319,1597,1914
C,DENTON,LEWISVILLE,TRINITY,106486,121083,138527,158016,176515,176515
C,DENTON,LITTLE ELM,TRINITY,29860,33821,33821,33821,33821,33821
C,DENTON,MOUNTAIN SPRING WSC,TRINITY,55,61,68,75,84,94
C,DENTON,MUSTANG SUD,TRINITY,12500,23946,35392,46838,58284,69730
C,DENTON,NORTHLAKE,TRINITY,4500,17000,31010,43005,55000,55000
C,DENTON,OAK POINT,TRINITY,8305,12586,16868,21149,25430,25430
C,DENTON,PALOMA CREEK,TRINITY,12348,16839,16839,16839,16839,16839
